sector,indicator,description,verified_value_raw,verified_value,unit,year,geography,data_status,imputation_method,imputation_note,source,dataset,source_url,simulation_ready
GDP & National Accounts,Real GDP growth,Real GDP annual growth,,,percent,2025,Saudi Arabia,Missing,None,Not imputed: no same-indicator regional/time observations are present. A cross-indicator median would be statistically invalid because units differ.,GASTAT,Real GDP Statistics 2025,,No
Healthcare,Dentists,,33751,33751.0,dentists,2024,Saudi Arabia,Verified,None,No imputation. Requires an official value for this exact indicator.,GASTAT,GASTAT Healthcare Establishments and Workforce Statistics 2024,,Yes
Healthcare,Healthcare coverage,,95.9,95.9,percent of total population,2024,Saudi Arabia,Verified,None,No imputation. Requires an official value for this exact indicator.,GASTAT,GASTAT Healthcare Statistics 2024,,Yes
Healthcare,Hospital beds,Number of hospital beds,23.4,23.4,"beds per 10,000 population",2024,Saudi Arabia,Verified,None,No imputation. Requires an official value for this exact indicator.,GASTAT,GASTAT Healthcare Establishments and Workforce Statistics 2024,,Yes
Healthcare,Hospitals,Number of hospitals,516,516.0,hospitals,2024,Saudi Arabia,Verified,None,No imputation. Requires an official value for this exact indicator.,GASTAT,GASTAT Healthcare Establishments and Workforce Statistics 2024,,Yes
Healthcare,Nurses,,243336,243336.0,nurses,2024,Saudi Arabia,Verified,None,No imputation. Requires an official value for this exact indicator.,GASTAT,GASTAT Healthcare Establishments and Workforce Statistics 2024,,Yes
Healthcare,Pharmacists,,46856,46856.0,pharmacists,2024,Saudi Arabia,Verified,None,No imputation. Requires an official value for this exact indicator.,GASTAT,GASTAT Healthcare Establishments and Workforce Statistics 2024,,Yes
Healthcare,Physicians,,129772,129772.0,physicians,2024,Saudi Arabia,Verified,None,No imputation. Requires an official value for this exact indicator.,GASTAT,GASTAT Healthcare Establishments and Workforce Statistics 2024,,Yes
Housing,Household size,Average Saudi household size,4.9,4.9,people,2024,Saudi Arabia,Verified,None,No imputation. Requires an official value for this exact indicator.,GASTAT,Housing Statistics Bulletin 2024,,Yes
Housing,Occupied dwellings,Dwellings occupied by Saudi households,4.4,4.4,million dwellings,2024,Saudi Arabia,Verified,None,No imputation. Requires an official value for this exact indicator.,GASTAT,Housing Statistics Bulletin 2024,,Yes
Industry,Discovered mineralization sites,Number of discovered mineralization sites,5651.0,5651.0,sites,2024,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,Mineral Resources Statistics 2024,https://stats.gov.sa/en/news?delta=20&page=5&start=21,Yes
Industry,Electricity/gas/steam revenues,"Operating revenues of electricity, gas, steam and air-conditioning supply",107.6,107.6,billion SAR,2024,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,Structural Business Statistics for Industrial Activities 2024,https://www.stats.gov.sa/documents/20117/2435267/Industrial%2BActivities%2Bduring%2B2024EN%2B%281%29.pdf/ba33198c-3cd4-806c-c418-f81c313bab30,Yes
Industry,Industrial employee compensation,Total employee compensation in industrial activities,212.0,212.0,billion SAR,2024,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,Structural Business Statistics for Industrial Activities 2024,https://www.stats.gov.sa/documents/20117/2435267/Industrial%2BActivities%2Bduring%2B2024EN%2B%281%29.pdf/ba33198c-3cd4-806c-c418-f81c313bab30,Yes
Industry,Industrial operating expenditures,Total operating expenditures of industrial activities,1176.0,1176.0,billion SAR,2024,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,Structural Business Statistics for Industrial Activities 2024,https://www.stats.gov.sa/documents/20117/2435267/Industrial%2BActivities%2Bduring%2B2024EN%2B%281%29.pdf/ba33198c-3cd4-806c-c418-f81c313bab30,Yes
Industry,Industrial operating revenues,Total operating revenues of industrial activities,2901.0,2901.0,billion SAR,2024,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,Structural Business Statistics for Industrial Activities 2024,https://www.stats.gov.sa/documents/20117/2435267/Industrial%2BActivities%2Bduring%2B2024EN%2B%281%29.pdf/ba33198c-3cd4-806c-c418-f81c313bab30,Yes
Industry,Manufacturing: chemicals share,Share of manufacturing operating revenues,23.4,23.4,percent,2024,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,Structural Business Statistics for Industrial Activities 2024,https://www.stats.gov.sa/documents/20117/2435267/Industrial%2BActivities%2Bduring%2B2024EN%2B%281%29.pdf/ba33198c-3cd4-806c-c418-f81c313bab30,Yes
Industry,Manufacturing: coke/refined petroleum share,Share of manufacturing operating revenues,41.1,41.1,percent,2024,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,Structural Business Statistics for Industrial Activities 2024,https://www.stats.gov.sa/documents/20117/2435267/Industrial%2BActivities%2Bduring%2B2024EN%2B%281%29.pdf/ba33198c-3cd4-806c-c418-f81c313bab30,Yes
Industry,Mining licenses,Issued mining licenses,2401.0,2401.0,licenses,2024,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,Mineral Resources Statistics 2024,https://stats.gov.sa/en/news?delta=20&page=5&start=21,Yes
International Trade,Imports growth,Q4 year-on-year growth in imports,15.5,15.5,percent,2024,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,International Trade Q4 2024,https://www.stats.gov.sa/documents/d/guest/itr-q42024e-pdf,Yes
International Trade,Non-oil exports growth,Q4 year-on-year growth in non-oil exports including re-exports,17.3,17.3,percent,2024,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,International Trade Q4 2024,https://www.stats.gov.sa/documents/d/guest/itr-q42024e-pdf,Yes
International Trade,Non-oil exports to imports ratio,Ratio of non-oil exports including re-exports to imports,35.2,35.2,percent,2024,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,International Trade Q4 2024,https://www.stats.gov.sa/documents/d/guest/itr-q42024e-pdf,Yes
International Trade,Oil share of total exports,Oil exports as share of total exports,70.5,70.5,percent,2024,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,International Trade Q4 2024,https://www.stats.gov.sa/documents/d/guest/itr-q42024e-pdf,Yes
Labor Market,Labor force participation rate,,66.4,66.4,percent,2024-Q4,Saudi Arabia,Verified,None,No imputation. Requires an official value for this exact indicator.,GASTAT,GASTAT Labor Market Statistics Q4 2024,,Yes
Labor Market,Saudi labor force participation rate,,51.1,51.1,percent,2024-Q4,Saudi Arabia,Verified,None,No imputation. Requires an official value for this exact indicator.,GASTAT,GASTAT Labor Market Statistics Q4 2024,,Yes
Labor Market,Saudi unemployment rate,,7.0,7.0,percent,2024-Q4,Saudi Arabia,Verified,None,No imputation. Requires an official value for this exact indicator.,GASTAT,GASTAT Labor Market Statistics Q4 2024,,Yes
Labor Market,Unemployment rate,Unemployment rate,3.5,3.5,percent,2024-Q4,Saudi Arabia,Verified,None,No imputation. Requires an official value for this exact indicator.,GASTAT,GASTAT Labor Market Statistics Q4 2024,,Yes
Labor Market,Employment,Employment indicator,,,people,2025-Q3,Saudi Arabia,Missing,None,Not imputed: no same-indicator regional/time observations are present. A cross-indicator median would be statistically invalid because units differ.,GASTAT,Labor Market Statistics Q3 2025,,No
Population & Demographics,Annual population growth,Annual population growth rate,4.7,4.7,percent,2024,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,Population Estimates Publication 2024,https://www.stats.gov.sa/documents/20117/2435273/Population%2BEstimates%2BPublication%2B2024%2BEN.pdf/7d123c57-1626-7d2f-ba7f-8a719f928f28,Yes
Population & Demographics,Total population,Estimated total population at mid-year,35.3,35.3,million people,2024,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,Population Estimates Publication 2024,https://www.stats.gov.sa/documents/20117/2435273/Population%2BEstimates%2BPublication%2B2024%2BEN.pdf/7d123c57-1626-7d2f-ba7f-8a719f928f28,Yes
Population & Demographics,Population estimates,National population indicator,,,people,2024,Saudi Arabia,Missing,None,Not imputed: no same-indicator regional/time observations are present. A cross-indicator median would be statistically invalid because units differ.,GASTAT,Official statistics category; value to be imported from the corresponding GASTAT table,,No
Prices & Inflation,Annual inflation,Annual average inflation / change in consumer prices,2.0,2.0,percent,2025,Saudi Arabia,Verified,None,Annual average inflation / change in consumer prices,GASTAT,Annual Consumer Price Index 2025,,Yes
Prices & Inflation,Consumer prices,Consumer Price Index / inflation indicators,,,index / percent,2025,Saudi Arabia,Missing,None,Not imputed: no same-indicator regional/time observations are present. A cross-indicator median would be statistically invalid because units differ.,GASTAT,Consumer Prices Statistics,,No
Technology & ICT,ICT goods exports/re-exports,Exports and re-exports of ICT goods,25.8,25.8,billion SAR,2024,Saudi Arabia,Verified,None,No imputation. Requires an official value for this exact indicator.,GASTAT,Digital Economy Statistics 2024,,Yes
Technology & ICT,ICT goods imports,Imports of ICT goods,67.9,67.9,billion SAR,2024,Saudi Arabia,Verified,None,No imputation. Requires an official value for this exact indicator.,GASTAT,Digital Economy Statistics 2024,,Yes
Tourism & Hajj,Saudi tourism employees,Saudi employees in tourism activities,245905.0,245905.0,employees,2024-Q2,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,Tourism Establishments Statistics Q2 2024,https://stats.gov.sa/en/news?delta=20&q=%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%B9%D9%85%D8%A7%D9%84+%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A&start=8,Yes
Tourism & Hajj,Tourism employees,Employees in tourism activities,959175.0,959175.0,employees,2024-Q2,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,Tourism Establishments Statistics Q2 2024,https://stats.gov.sa/en/news?delta=20&q=%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%B9%D9%85%D8%A7%D9%84+%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A&start=8,Yes
Tourism & Hajj,Tourism employment share,Tourism employees as share of total economy labor force,5.7,5.7,percent,2024-Q2,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,Tourism Establishments Statistics Q2 2024,https://stats.gov.sa/en/news?delta=20&q=%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%B9%D9%85%D8%A7%D9%84+%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A&start=8,Yes
Transportation & Logistics,Activated logistics centers,Number of activated logistics centers,23.0,23.0,centers,2024,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,Warehousing and Logistics Statistics 2024,https://stats.gov.sa/en/w/news/137,Yes
Transportation & Logistics,Active Saudi drivers,Active Saudi drivers in delivery sector,140000.0,140000.0,drivers,2024,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,Warehousing and Logistics Statistics 2024,https://stats.gov.sa/en/w/news/137,Yes
Transportation & Logistics,Air freight volume,Freight volume by air transportation,1.2,1.2,million tons,2024,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,Warehousing and Logistics Statistics 2024,https://stats.gov.sa/en/w/news/137,Yes
Transportation & Logistics,Average delivery time,Average delivery time,35.0,35.0,minutes,2024,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,Warehousing and Logistics Statistics 2024,https://stats.gov.sa/en/w/news/137,Yes
Transportation & Logistics,Licensed commercial warehouses,Number of licensed commercial warehouses,12234.0,12234.0,warehouses,2024,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,Warehousing and Logistics Statistics 2024,https://stats.gov.sa/en/w/news/137,Yes
Transportation & Logistics,Maritime freight volume,Freight volume by maritime transportation,331.3,331.3,million tons,2024,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,Warehousing and Logistics Statistics 2024,https://stats.gov.sa/en/w/news/137,Yes
Transportation & Logistics,Orders fulfilled,Orders fulfilled in delivery activity,290.0,290.0,million orders,2024,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,Warehousing and Logistics Statistics 2024,https://stats.gov.sa/en/w/news/137,Yes
Transportation & Logistics,Rail freight volume,Freight volume by railway transportation,15.6,15.6,million tons,2024,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,Warehousing and Logistics Statistics 2024,https://stats.gov.sa/en/w/news/137,Yes
Transportation & Logistics,Road-port freight volume,Freight volume through road ports,25.7,25.7,million tons,2024,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,Warehousing and Logistics Statistics 2024,https://stats.gov.sa/en/w/news/137,Yes
